Symbol,Company_Name,Broad_Index,Sectoral_Index,Industry
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,NIFTY50,None,SERVICES
ASIANPAINT,Asian Paints Ltd.,NIFTY50,None,CONSUMER GOODS
AXISBANK,Axis Bank Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
BAJAJ-AUTO,Bajaj Auto Ltd.,NIFTY50,Nifty Auto,AUTOMOBILE
BAJFINANCE,Bajaj Finance Ltd.,NIFTY50,Nifty Finance,FINANCIAL SERVICES
BAJAJFINSV,Bajaj Finserv Ltd.,NIFTY50,Nifty Finance,FINANCIAL SERVICES
BPCL,Bharat Petroleum Corporation Ltd.,NIFTY50,Nifty Oil and Gas,OIL & GAS
BHARTIARTL,Bharti Airtel Ltd.,NIFTY50,None,TELECOM
BRITANNIA,Britannia Industries Ltd.,NIFTY50,Nifty FMCG,CONSUMER GOODS
CIPLA,Cipla Ltd.,NIFTY50,Nifty Pharma,PHARMA
COALINDIA,Coal India Ltd.,NIFTY50,Nifty Metals,METALS
DIVISLAB,Divi's Laboratories Ltd.,NIFTY50,Nifty Pharma,PHARMA
DRREDDY,Dr. Reddy's Laboratories Ltd.,NIFTY50,Nifty Pharma,PHARMA
EICHERMOT,Eicher Motors Ltd.,NIFTY50,Nifty Auto,AUTOMOBILE
GAIL,GAIL (India) Ltd.,NIFTY50,Nifty Oil and Gas,OIL & GAS
GRASIM,Grasim Industries Ltd.,NIFTY50,None,CEMENT & CEMENT PRODUCTS
HCLTECH,HCL Technologies Ltd.,NIFTY50,Nifty IT,IT
HDFCBANK,HDFC Bank Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
HDFCLIFE,HDFC Life Insurance Company Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
HEROMOTOCO,Hero MotoCorp Ltd.,NIFTY50,Nifty Auto,AUTOMOBILE
HINDALCO,Hindalco Industries Ltd.,NIFTY50,Nifty Metals,METALS
HINDUNILVR,Hindustan Unilever Ltd.,NIFTY50,Nifty FMCG,CONSUMER GOODS
HDFC,Housing Development Finance Corporation Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
ICICIBANK,ICICI Bank Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
ITC,ITC Ltd.,NIFTY50,Nifty FMCG,CONSUMER GOODS
IOC,Indian Oil Corporation Ltd.,NIFTY50,Nifty Oil and Gas,OIL & GAS
INDUSINDBK,IndusInd Bank Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
INFY,Infosys Ltd.,NIFTY50,Nifty IT,IT
JSWSTEEL,JSW Steel Ltd.,NIFTY50,Nifty Metals,METALS
KOTAKBANK,Kotak Mahindra Bank Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
LT,Larsen & Toubro Ltd.,NIFTY50,None,CONSTRUCTION
M&M,Mahindra & Mahindra Ltd.,NIFTY50,Nifty Auto,AUTOMOBILE
MARUTI,Maruti Suzuki India Ltd.,NIFTY50,Nifty Auto,AUTOMOBILE
NTPC,NTPC Ltd.,NIFTY50,None,POWER
NESTLEIND,Nestle India Ltd.,NIFTY50,Nifty FMCG,CONSUMER GOODS
ONGC,Oil & Natural Gas Corporation Ltd.,NIFTY50,Nifty Oil and Gas,OIL & GAS
POWERGRID,Power Grid Corporation of India Ltd.,NIFTY50,None,POWER
RELIANCE,Reliance Industries Ltd.,NIFTY50,Nifty Oil and Gas,OIL & GAS
SBILIFE,SBI Life Insurance Company Ltd.,NIFTY50,Nifty Bank,FINANCIAL SERVICES
SHREECEM,Shree Cement Ltd.,NIFTY50,None,CEMENT & CEMENT PRODUCTS
SBIN,State Bank of India,NIFTY50,Nifty Bank,FINANCIAL SERVICES
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,NIFTY50,Nifty Pharma,PHARMA
TCS,Tata Consultancy Services Ltd.,NIFTY50,Nifty IT,IT
TATAMOTORS,Tata Motors Ltd.,NIFTY50,Nifty Auto,AUTOMOBILE
TATASTEEL,Tata Steel Ltd.,NIFTY50,Nifty Metals,METALS
TECHM,Tech Mahindra Ltd.,NIFTY50,Nifty IT,IT
TITAN,Titan Company Ltd.,NIFTY50,Nifty Consumer Durables,CONSUMER GOODS
UPL,UPL Ltd.,NIFTY50,None,FERTILISERS & PESTICIDES
ULTRACEMCO,UltraTech Cement Ltd.,NIFTY50,None,CEMENT & CEMENT PRODUCTS
WIPRO,Wipro Ltd.,NIFTY50,Nifty IT,IT
ACC,ACC Ltd.,NIFTY NEXT 50,None,CEMENT & CEMENT PRODUCTS
ABBOTINDIA,Abbott India Ltd.,NIFTY NEXT 50,Nifty Pharma,PHARMA
ADANIGREEN,Adani Green Energy Ltd.,NIFTY NEXT 50,None,POWER
ADANITRANS,Adani Transmission Ltd.,NIFTY NEXT 50,None,POWER
ALKEM,Alkem Laboratories Ltd.,NIFTY NEXT 50,Nifty Pharma,PHARMA
